Item,Am,Gm,Um,Hm,Sm,CVm,Cpm
Total,-12.10893348375747 kcal mol⁻¹,-11.516448534043707 kcal mol⁻¹,12.583751006027974 kcal mol⁻¹,13.176235955741738 kcal mol⁻¹,46.637044616150895 cal K⁻¹ mol⁻¹,6.279572405084844 cal K⁻¹ mol⁻¹,8.266776663725675 cal K⁻¹ mol⁻¹
Electronic,-0.6509112466064481 kcal mol⁻¹,-0.6509112466064481 kcal mol⁻¹,0.0 kcal mol⁻¹,0.0 kcal mol⁻¹,2.1831670186364183 cal K⁻¹ mol⁻¹,0.0 cal K⁻¹ mol⁻¹,0.0 cal K⁻¹ mol⁻¹
Translational,-9.207570028455349 kcal mol⁻¹,-8.615085078741584 kcal mol⁻¹,0.8887274245706458 kcal mol⁻¹,1.4812123742844099 kcal mol⁻¹,33.86314758687236 cal K⁻¹ mol⁻¹,2.9808063879612474 cal K⁻¹ mol⁻¹,4.968010646602079 cal K⁻¹ mol⁻¹
Rotational,-2.246851013303138 kcal mol⁻¹,-2.246851013303138 kcal mol⁻¹,0.8887274245706458 kcal mol⁻¹,0.8887274245706458 kcal mol⁻¹,10.516781612858574 cal K⁻¹ mol⁻¹,2.9808063879612474 cal K⁻¹ mol⁻¹,2.9808063879612474 cal K⁻¹ mol⁻¹
Vibrational,-0.0036011953925362524 kcal mol⁻¹,-0.0036011953925362524 kcal mol⁻¹,10.806296156886683 kcal mol⁻¹,10.806296156886683 kcal mol⁻¹,0.07394839778354044 cal K⁻¹ mol⁻¹,0.3179596291623488 cal K⁻¹ mol⁻¹,0.3179596291623488 cal K⁻¹ mol⁻¹
